date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:29:39	35105/35105	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Nov%202023%2006:29:12%20GMT	https://lms.kyonggi.ac.kr/login.php?lang=ko	/home/nse_project/lms.kyonggi.ac.kr/login7542.html	(from https://lms.kyonggi.ac.kr/login.php)
01:29:40	1511/1511	---M--	200	added ('OK')	image/png	etag:%224729f2a2a82c35a0ed54183cf1d5ab59c709432b%22	https://lms.kyonggi.ac.kr/theme/image.php/coursemosv2/theme_coursemosv2/1693408461/flag/ko	/home/nse_project/lms.kyonggi.ac.kr/theme/image.php/coursemosv2/theme_coursemosv2/1693408461/flag/ko.png	(from https://lms.kyonggi.ac.kr/login.php)
01:29:41	34239/34239	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Nov%202023%2006:29:14%20GMT	https://lms.kyonggi.ac.kr/login.php?lang=zh_cn	/home/nse_project/lms.kyonggi.ac.kr/loginbc36.html	(from https://lms.kyonggi.ac.kr/login.php)
01:29:42	1295/1295	---M--	200	added ('OK')	image/png	etag:%22be33383d7363681e8f72c366a118c72b41ecac9c%22	https://lms.kyonggi.ac.kr/theme/image.php/coursemosv2/theme_coursemosv2/1693408461/flag/zh_cn	/home/nse_project/lms.kyonggi.ac.kr/theme/image.php/coursemosv2/theme_coursemosv2/1693408461/flag/zh_cn.png	(from https://lms.kyonggi.ac.kr/login.php)
01:29:43	32931/32931	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Nov%202023%2006:29:16%20GMT	https://lms.kyonggi.ac.kr/mod/ubboard/article.php?id=1&bwid=394317	/home/nse_project/lms.kyonggi.ac.kr/mod/ubboard/article7ede.php	(from https://lms.kyonggi.ac.kr/login.php)
01:29:44	32931/32931	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Nov%202023%2006:29:17%20GMT	https://lms.kyonggi.ac.kr/mod/ubboard/article.php?id=1&bwid=377655	/home/nse_project/lms.kyonggi.ac.kr/mod/ubboard/articlef6e7.php	(from https://lms.kyonggi.ac.kr/login.php)
01:29:45	32931/32931	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Nov%202023%2006:29:18%20GMT	https://lms.kyonggi.ac.kr/mod/ubboard/article.php?id=1&bwid=375305	/home/nse_project/lms.kyonggi.ac.kr/mod/ubboard/articlec79d.php	(from https://lms.kyonggi.ac.kr/login.php)
01:29:46	32931/32931	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Nov%202023%2006:29:19%20GMT	https://lms.kyonggi.ac.kr/mod/ubboard/article.php?id=1&bwid=373663	/home/nse_project/lms.kyonggi.ac.kr/mod/ubboard/article376f.php	(from https://lms.kyonggi.ac.kr/login.php)
01:29:47	32931/32931	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Nov%202023%2006:29:20%20GMT	https://lms.kyonggi.ac.kr/mod/ubboard/article.php?id=1&bwid=367218	/home/nse_project/lms.kyonggi.ac.kr/mod/ubboard/articlec747.php	(from https://lms.kyonggi.ac.kr/login.php)
01:29:48	32553/32553	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Nov%202023%2006:29:21%20GMT	https://lms.kyonggi.ac.kr/mod/ubboard/view.php?id=3	/home/nse_project/lms.kyonggi.ac.kr/mod/ubboard/viewd708.php	(from https://lms.kyonggi.ac.kr/login.php)
